Age,Age_Showing,Normative_variability,CI_low,CI_high
22.7,22.7,0.0092373,0.0090538,0.0093524
22.8,22.8,0.0092468,0.0090632,0.0093625
22.9,22.9,0.0092564,0.0090725,0.0093727
23,23,0.0092661,0.0090817,0.0093833
23.1,23.1,0.0092758,0.009091,0.0093935
23.2,23.2,0.0092855,0.0091008,0.0094038
23.3,23.3,0.0092953,0.0091109,0.0094142
23.4,23.4,0.0093052,0.009121,0.0094246
23.5,23.5,0.0093151,0.0091308,0.009435
23.6,23.6,0.009325,0.0091407,0.0094459
23.7,23.7,0.009335,0.0091502,0.0094567
23.8,23.8,0.0093451,0.0091607,0.0094674
23.9,23.9,0.0093552,0.0091708,0.0094782
24,24,0.0093653,0.0091803,0.0094891
24.1,24.1,0.0093755,0.0091898,0.0095
24.2,24.2,0.0093857,0.0091995,0.0095106
24.3,24.3,0.009396,0.0092097,0.0095213
24.4,24.4,0.0094063,0.00922,0.009532
24.5,24.5,0.0094167,0.0092306,0.0095427
24.6,24.6,0.0094271,0.0092415,0.0095536
24.7,24.7,0.0094376,0.0092524,0.0095648
24.8,24.8,0.0094481,0.0092633,0.009576
24.9,24.9,0.0094586,0.0092743,0.0095869
25,25,0.0094692,0.0092848,0.009598
25.1,25.1,0.0094799,0.0092953,0.009609
25.2,25.2,0.0094906,0.009306,0.0096204
25.3,25.3,0.0095013,0.0093166,0.0096318
25.4,25.4,0.009512,0.0093273,0.0096432
25.5,25.5,0.0095229,0.0093378,0.0096543
25.6,25.6,0.0095337,0.0093484,0.0096654
25.7,25.7,0.0095446,0.009359,0.0096766
25.8,25.8,0.0095555,0.0093694,0.0096878
25.9,25.9,0.0095665,0.0093797,0.0096997
26,26,0.0095775,0.0093901,0.0097116
26.1,26.1,0.0095886,0.009401,0.0097232
26.2,26.2,0.0095997,0.0094127,0.0097348
26.3,26.3,0.0096108,0.0094238,0.0097464
26.4,26.4,0.009622,0.0094347,0.0097575
26.5,26.5,0.0096332,0.0094458,0.0097684
26.6,26.6,0.0096445,0.0094573,0.0097794
26.7,26.7,0.0096558,0.0094684,0.0097905
26.8,26.8,0.0096671,0.0094795,0.0098024
26.9,26.9,0.0096785,0.0094907,0.0098142
27,27,0.0096899,0.0095028,0.0098262
27.1,27.1,0.0097013,0.0095136,0.0098382
27.2,27.2,0.0097128,0.0095251,0.0098503
27.3,27.3,0.0097243,0.0095368,0.0098624
27.4,27.4,0.0097359,0.009548,0.0098745
27.5,27.5,0.0097475,0.0095591,0.0098861
27.6,27.6,0.0097591,0.0095703,0.0098982
27.7,27.7,0.0097708,0.0095822,0.0099104
27.8,27.8,0.0097825,0.0095943,0.0099225
27.9,27.9,0.0097942,0.0096064,0.0099347
28,28,0.009806,0.0096178,0.0099466
28.1,28.1,0.0098177,0.0096288,0.0099586
28.2,28.2,0.0098296,0.0096401,0.0099706
28.3,28.3,0.0098414,0.0096519,0.0099827
28.4,28.4,0.0098533,0.009664,0.0099948
28.5,28.5,0.0098652,0.0096767,0.010006
28.6,28.6,0.0098772,0.0096885,0.010019
28.7,28.7,0.0098892,0.0097002,0.010031
28.8,28.8,0.0099012,0.0097119,0.010043
28.9,28.9,0.0099133,0.0097237,0.010055
29,29,0.0099253,0.0097357,0.010068
29.1,29.1,0.0099374,0.0097476,0.010081
29.2,29.2,0.0099496,0.0097601,0.010093
29.3,29.3,0.0099617,0.0097728,0.010105
29.4,29.4,0.0099739,0.0097847,0.010118
29.5,29.5,0.0099861,0.0097966,0.01013
29.6,29.6,0.0099984,0.0098091,0.010143
29.7,29.7,0.010011,0.009822,0.010155
29.8,29.8,0.010023,0.0098349,0.010167
29.9,29.9,0.010035,0.0098481,0.01018
30,30,0.010048,0.0098615,0.010193
30.1,30.1,0.01006,0.0098738,0.010206
30.2,30.2,0.010072,0.0098866,0.010218
30.3,30.3,0.010085,0.0098996,0.010231
30.4,30.4,0.010097,0.0099127,0.010243
30.5,30.5,0.01011,0.0099259,0.010255
30.6,30.6,0.010122,0.0099391,0.010268
30.7,30.7,0.010135,0.0099523,0.010281
30.8,30.8,0.010147,0.0099653,0.010295
30.9,30.9,0.01016,0.009978,0.010308
31,31,0.010172,0.0099915,0.01032
31.1,31.1,0.010185,0.010005,0.010333
31.2,31.2,0.010198,0.010018,0.010346
31.3,31.3,0.01021,0.010031,0.010359
31.4,31.4,0.010223,0.010044,0.010372
31.5,31.5,0.010236,0.010056,0.010384
31.6,31.6,0.010248,0.010069,0.010397
31.7,31.7,0.010261,0.010082,0.01041
31.8,31.8,0.010274,0.010095,0.010422
31.9,31.9,0.010287,0.010109,0.010435
32,32,0.010299,0.010122,0.010449
32.1,32.1,0.010312,0.010135,0.010462
32.2,32.2,0.010325,0.010148,0.010475
32.3,32.3,0.010338,0.010161,0.010488
32.4,32.4,0.010351,0.010174,0.010502
32.5,32.5,0.010363,0.010187,0.010515
32.6,32.6,0.010376,0.010201,0.010528
32.7,32.7,0.010389,0.010214,0.010541
32.8,32.8,0.010402,0.010228,0.010554
32.9,32.9,0.010415,0.010242,0.010566
33,33,0.010428,0.010255,0.010579
33.1,33.1,0.010441,0.010269,0.010592
33.2,33.2,0.010454,0.010283,0.010605
33.3,33.3,0.010467,0.010296,0.010618
33.4,33.4,0.01048,0.01031,0.010631
33.5,33.5,0.010493,0.010323,0.010645
33.6,33.6,0.010506,0.010337,0.010658
33.7,33.7,0.010519,0.010351,0.010672
33.8,33.8,0.010532,0.010365,0.010686
33.9,33.9,0.010545,0.010378,0.010699
34,34,0.010558,0.010391,0.010713
34.1,34.1,0.010571,0.010404,0.010727
34.2,34.2,0.010584,0.010417,0.01074
34.3,34.3,0.010597,0.010431,0.010753
34.4,34.4,0.01061,0.010444,0.010765
34.5,34.5,0.010623,0.010457,0.010777
34.6,34.6,0.010636,0.01047,0.01079
34.7,34.7,0.010649,0.010483,0.010804
34.8,34.8,0.010662,0.010496,0.010816
34.9,34.9,0.010675,0.01051,0.01083
35,35,0.010688,0.010523,0.010842
35.1,35.1,0.010701,0.010536,0.010855
35.2,35.2,0.010714,0.010549,0.010868
35.3,35.3,0.010727,0.010563,0.010879
35.4,35.4,0.01074,0.010577,0.010892
35.5,35.5,0.010753,0.01059,0.010905
35.6,35.6,0.010766,0.010603,0.010919
35.7,35.7,0.010779,0.010617,0.010932
35.8,35.8,0.010792,0.01063,0.010945
35.9,35.9,0.010805,0.010644,0.010958
36,36,0.010818,0.010658,0.010972
36.1,36.1,0.010831,0.010671,0.010985
36.2,36.2,0.010844,0.010685,0.010999
36.3,36.3,0.010857,0.010699,0.011012
36.4,36.4,0.01087,0.010712,0.011025
36.5,36.5,0.010883,0.010726,0.011039
36.6,36.6,0.010896,0.01074,0.011052
36.7,36.7,0.010909,0.010754,0.011065
36.8,36.8,0.010922,0.010768,0.011078
36.9,36.9,0.010935,0.010782,0.011091
37,37,0.010948,0.010795,0.011103
37.1,37.1,0.010961,0.010809,0.011116
37.2,37.2,0.010974,0.010823,0.011129
37.3,37.3,0.010987,0.010836,0.011143
37.4,37.4,0.011,0.010849,0.011156
37.5,37.5,0.011013,0.010863,0.01117
37.6,37.6,0.011026,0.010876,0.011183
37.7,37.7,0.011039,0.01089,0.011195
37.8,37.8,0.011052,0.010903,0.011209
37.9,37.9,0.011064,0.010917,0.011221
38,38,0.011077,0.01093,0.011234
38.1,38.1,0.01109,0.010943,0.011246
38.2,38.2,0.011103,0.010956,0.011259
38.3,38.3,0.011116,0.010969,0.011272
38.4,38.4,0.011128,0.010981,0.011284
38.5,38.5,0.011141,0.010994,0.011298
38.6,38.6,0.011154,0.011007,0.011311
38.7,38.7,0.011167,0.011019,0.011325
38.8,38.8,0.011179,0.011032,0.011339
38.9,38.9,0.011192,0.011045,0.011353
39,39,0.011205,0.011058,0.011366
39.1,39.1,0.011217,0.01107,0.011379
39.2,39.2,0.01123,0.011082,0.011392
39.3,39.3,0.011242,0.011095,0.011405
39.4,39.4,0.011255,0.011107,0.011417
39.5,39.5,0.011268,0.01112,0.011429
39.6,39.6,0.01128,0.011133,0.011442
39.7,39.7,0.011292,0.011145,0.011454
39.8,39.8,0.011305,0.011158,0.011467
39.9,39.9,0.011317,0.011171,0.011479
40,40,0.01133,0.011184,0.011492
40.1,40.1,0.011342,0.011196,0.011505
40.2,40.2,0.011354,0.011209,0.011517
40.3,40.3,0.011367,0.011221,0.01153
40.4,40.4,0.011379,0.011234,0.011542
40.5,40.5,0.011391,0.011246,0.011555
40.6,40.6,0.011403,0.011258,0.011567
40.7,40.7,0.011416,0.01127,0.01158
40.8,40.8,0.011428,0.011283,0.011592
40.9,40.9,0.01144,0.011295,0.011604
41,41,0.011452,0.011308,0.011616
41.1,41.1,0.011464,0.01132,0.011629
41.2,41.2,0.011476,0.011333,0.011642
41.3,41.3,0.011488,0.011344,0.011655
41.4,41.4,0.0115,0.011356,0.011667
