Age,Age_Showing,Growth_Rate,CI_low,CI_high
28,28,0.1258,0.10175,0.15846
28.1,28.1,0.12477,0.10074,0.15743
28.2,28.2,0.12374,0.0997,0.15646
28.3,28.3,0.12271,0.098493,0.1556
28.4,28.4,0.12167,0.097367,0.15459
28.5,28.5,0.12062,0.096239,0.15363
28.6,28.6,0.11957,0.095123,0.15263
28.7,28.7,0.11852,0.094124,0.15163
28.8,28.8,0.11746,0.092966,0.15051
28.9,28.9,0.1164,0.091805,0.14956
29,29,0.11533,0.090641,0.14877
29.1,29.1,0.11426,0.089567,0.14767
29.2,29.2,0.11318,0.088385,0.14639
29.3,29.3,0.1121,0.087232,0.14558
29.4,29.4,0.11101,0.086062,0.14448
29.5,29.5,0.10992,0.084892,0.14337
29.6,29.6,0.10883,0.08372,0.14226
29.7,29.7,0.10772,0.082597,0.14114
29.8,29.8,0.10662,0.081385,0.14001
29.9,29.9,0.10551,0.080198,0.13889
30,30,0.1044,0.079022,0.13775
30.1,30.1,0.10328,0.077845,0.13664
30.2,30.2,0.10215,0.076637,0.13552
30.3,30.3,0.10102,0.075485,0.13439
30.4,30.4,0.09989,0.074308,0.13326
30.5,30.5,0.098753,0.073108,0.13215
30.6,30.6,0.09761,0.071898,0.13097
30.7,30.7,0.096463,0.070709,0.1298
30.8,30.8,0.095311,0.069517,0.1286
30.9,30.9,0.094155,0.068322,0.12739
31,31,0.092994,0.067125,0.12621
31.1,31.1,0.091828,0.065925,0.12503
31.2,31.2,0.090658,0.064747,0.12385
31.3,31.3,0.089483,0.063589,0.12266
31.4,31.4,0.088303,0.06237,0.12146
31.5,31.5,0.087119,0.061256,0.12025
31.6,31.6,0.08593,0.060063,0.11901
31.7,31.7,0.084737,0.058787,0.11778
31.8,31.8,0.083539,0.057591,0.11655
31.9,31.9,0.082336,0.05633,0.1153
32,32,0.081129,0.055186,0.11405
32.1,32.1,0.079917,0.053934,0.11278
32.2,32.2,0.078701,0.052622,0.11151
32.3,32.3,0.07748,0.051313,0.11025
32.4,32.4,0.076254,0.050029,0.10899
32.5,32.5,0.075024,0.04865,0.10767
32.6,32.6,0.073789,0.047269,0.10645
32.7,32.7,0.072549,0.045959,0.10509
32.8,32.8,0.071305,0.044658,0.10371
32.9,32.9,0.070057,0.043422,0.10238
33,33,0.068803,0.042185,0.1011
33.1,33.1,0.067546,0.040947,0.099918
33.2,33.2,0.066283,0.039709,0.098635
33.3,33.3,0.065016,0.03847,0.097313
33.4,33.4,0.063745,0.03723,0.095983
33.5,33.5,0.062469,0.035989,0.094622
33.6,33.6,0.061188,0.034748,0.093297
33.7,33.7,0.059903,0.033505,0.091944
33.8,33.8,0.058613,0.032263,0.090582
33.9,33.9,0.057319,0.030985,0.089212
34,34,0.05602,0.029662,0.087834
34.1,34.1,0.054717,0.028337,0.086448
34.2,34.2,0.053409,0.027056,0.085054
34.3,34.3,0.052097,0.025842,0.083652
34.4,34.4,0.05078,0.024442,0.082226
34.5,34.5,0.049458,0.023037,0.080824
34.6,34.6,0.048132,0.021633,0.079476
34.7,34.7,0.046801,0.020306,0.078226
34.8,34.8,0.045466,0.019003,0.076806
34.9,34.9,0.044127,0.017697,0.07538
35,35,0.042783,0.01639,0.073947
35.1,35.1,0.041434,0.01508,0.072238
35.2,35.2,0.040081,0.013862,0.070809
35.3,35.3,0.038723,0.01256,0.069194
35.4,35.4,0.037361,0.011367,0.067749
35.5,35.5,0.035994,0.0099442,0.066349
35.6,35.6,0.034623,0.0084955,0.064942
35.7,35.7,0.033247,0.0073674,0.063526
35.8,35.8,0.031867,0.0060655,0.062057
35.9,35.9,0.030482,0.0046522,0.060522
36,36,0.029093,0.0033326,0.059167
36.1,36.1,0.0277,0.0019641,0.057666
36.2,36.2,0.026301,0.00059417,0.056048
36.3,36.3,0.024899,-0.00072459,0.054421
36.4,36.4,0.023492,-0.0019711,0.052944
36.5,36.5,0.02208,-0.0033656,0.051473
36.6,36.6,0.020664,-0.0046884,0.049997
