Age,Age_Showing,5th_centile,25th_centile,50th_centile,75th_centile,95th_centile,CI_low_5th,CI_high_5th,CI_low_25th,CI_high_25th,CI_low_50th,CI_high_50th,CI_low_75th,CI_high_75th,CI_low_95th,CI_high_95th
14.9,14.9,0.61187,0.65473,0.67836,0.6989,0.7259,0.60989,0.61369,0.65348,0.656,0.67725,0.67941,0.69775,0.69996,0.72449,0.72725
15,15,0.61217,0.65494,0.67852,0.699,0.72594,0.6102,0.61399,0.65367,0.65619,0.67741,0.67956,0.69786,0.70006,0.72455,0.72729
15.1,15.1,0.61248,0.65515,0.67867,0.6991,0.72598,0.6105,0.61429,0.65388,0.65639,0.67756,0.6797,0.69796,0.70017,0.72458,0.72733
15.2,15.2,0.61277,0.65535,0.67881,0.6992,0.72602,0.61081,0.61459,0.65409,0.65658,0.67772,0.67983,0.69807,0.70028,0.72461,0.72737
15.3,15.3,0.61307,0.65554,0.67896,0.6993,0.72606,0.61111,0.61489,0.65429,0.65677,0.67787,0.67998,0.69818,0.70039,0.72466,0.7274
15.4,15.4,0.61336,0.65574,0.6791,0.6994,0.7261,0.6114,0.61519,0.65449,0.65696,0.67802,0.68014,0.69829,0.70048,0.7247,0.72744
15.5,15.5,0.61365,0.65593,0.67924,0.6995,0.72614,0.61169,0.61549,0.6547,0.65715,0.67815,0.68028,0.69839,0.70058,0.72474,0.72748
15.6,15.6,0.61393,0.65612,0.67938,0.69959,0.72618,0.61199,0.61576,0.65489,0.65733,0.67829,0.68042,0.6985,0.70069,0.72479,0.72751
15.7,15.7,0.61421,0.65631,0.67952,0.69969,0.72621,0.61227,0.61604,0.65507,0.65751,0.67844,0.68058,0.6986,0.7008,0.72483,0.72754
15.8,15.8,0.61449,0.6565,0.67966,0.69978,0.72625,0.61255,0.6163,0.65525,0.65769,0.67858,0.68071,0.6987,0.70089,0.72488,0.72757
15.9,15.9,0.61476,0.65668,0.67979,0.69987,0.72628,0.61283,0.61658,0.65543,0.65787,0.67873,0.68084,0.6988,0.70098,0.72492,0.7276
16,16,0.61503,0.65686,0.67992,0.69996,0.72632,0.61311,0.61686,0.65561,0.65806,0.67887,0.68097,0.6989,0.70106,0.72496,0.72762
16.1,16.1,0.61529,0.65704,0.68005,0.70005,0.72635,0.61338,0.61715,0.65579,0.65823,0.679,0.6811,0.69899,0.70114,0.72498,0.72764
16.2,16.2,0.61556,0.65722,0.68018,0.70014,0.72638,0.61365,0.61742,0.65596,0.65842,0.67914,0.68123,0.69908,0.70122,0.72503,0.72767
16.3,16.3,0.61581,0.65739,0.68031,0.70022,0.72642,0.61391,0.61768,0.65612,0.65859,0.67927,0.68136,0.69917,0.7013,0.72508,0.72769
16.4,16.4,0.61607,0.65756,0.68043,0.70031,0.72645,0.61417,0.61793,0.65629,0.65875,0.67939,0.68149,0.69925,0.70137,0.72513,0.72771
16.5,16.5,0.61632,0.65773,0.68056,0.70039,0.72648,0.61442,0.61817,0.65646,0.65891,0.67951,0.68161,0.69934,0.70145,0.72516,0.72774
16.6,16.6,0.61657,0.6579,0.68068,0.70047,0.72651,0.61468,0.61842,0.65663,0.65907,0.67963,0.68173,0.69943,0.70152,0.7252,0.72776
16.7,16.7,0.61681,0.65806,0.6808,0.70055,0.72654,0.61493,0.61865,0.65679,0.65926,0.67977,0.68184,0.6995,0.70161,0.72523,0.72779
16.8,16.8,0.61705,0.65822,0.68091,0.70063,0.72657,0.61518,0.61889,0.65695,0.65942,0.67988,0.68195,0.69958,0.70171,0.72527,0.72782
16.9,16.9,0.61729,0.65838,0.68103,0.70071,0.7266,0.61543,0.61911,0.65712,0.65957,0.67999,0.68208,0.69967,0.70178,0.72529,0.72786
17,17,0.61752,0.65854,0.68114,0.70079,0.72662,0.61565,0.61934,0.65728,0.65972,0.6801,0.6822,0.69976,0.70186,0.72531,0.7279
17.1,17.1,0.61776,0.65869,0.68125,0.70086,0.72665,0.61589,0.61956,0.65743,0.65987,0.68021,0.68231,0.69984,0.70193,0.72535,0.72792
17.2,17.2,0.61798,0.65884,0.68136,0.70093,0.72667,0.61611,0.61978,0.65759,0.66002,0.68032,0.68242,0.69991,0.70201,0.72538,0.72794
17.3,17.3,0.61821,0.65899,0.68147,0.70101,0.7267,0.61633,0.62001,0.65774,0.66016,0.68044,0.68254,0.69999,0.70208,0.7254,0.72797
17.4,17.4,0.61843,0.65914,0.68158,0.70108,0.72672,0.61656,0.62024,0.65788,0.6603,0.68055,0.68265,0.70006,0.70215,0.72543,0.72799
17.5,17.5,0.61865,0.65928,0.68168,0.70115,0.72675,0.61679,0.62046,0.65802,0.66044,0.68065,0.68276,0.70013,0.70222,0.72546,0.72801
17.6,17.6,0.61886,0.65942,0.68179,0.70122,0.72677,0.617,0.62067,0.65818,0.66058,0.68075,0.68286,0.70019,0.70229,0.72549,0.72803
17.7,17.7,0.61907,0.65956,0.68189,0.70128,0.72679,0.61722,0.62088,0.65833,0.66072,0.68085,0.68297,0.70025,0.70236,0.72551,0.72805
17.8,17.8,0.61928,0.6597,0.68199,0.70135,0.72682,0.61744,0.62109,0.65847,0.66087,0.68096,0.68305,0.70032,0.70243,0.72553,0.72808
17.9,17.9,0.61948,0.65984,0.68208,0.70141,0.72684,0.61764,0.6213,0.65859,0.661,0.68105,0.68314,0.70039,0.7025,0.72555,0.7281
18,18,0.61968,0.65997,0.68218,0.70148,0.72686,0.61785,0.6215,0.65872,0.66113,0.68115,0.68324,0.70046,0.70256,0.72558,0.72813
18.1,18.1,0.61988,0.6601,0.68227,0.70154,0.72688,0.61805,0.62171,0.65885,0.66127,0.68125,0.68334,0.70052,0.70262,0.7256,0.72815
18.2,18.2,0.62008,0.66023,0.68237,0.7016,0.7269,0.61826,0.6219,0.65898,0.66141,0.68134,0.68343,0.70058,0.70268,0.72563,0.72816
18.3,18.3,0.62027,0.66036,0.68246,0.70166,0.72691,0.61846,0.62209,0.65911,0.66154,0.68142,0.68351,0.70064,0.70274,0.72566,0.72818
18.4,18.4,0.62046,0.66048,0.68255,0.70172,0.72693,0.61865,0.62228,0.65923,0.66167,0.6815,0.6836,0.7007,0.70279,0.72568,0.72819
18.5,18.5,0.62065,0.66061,0.68263,0.70177,0.72695,0.61884,0.62246,0.65935,0.6618,0.68159,0.68369,0.70075,0.70284,0.72571,0.72821
18.6,18.6,0.62083,0.66073,0.68272,0.70183,0.72696,0.61902,0.62265,0.65947,0.66192,0.68168,0.68377,0.70081,0.70291,0.72573,0.72822
18.7,18.7,0.62101,0.66084,0.6828,0.70188,0.72698,0.61921,0.62283,0.6596,0.66204,0.68176,0.68386,0.70086,0.70296,0.72575,0.72823
18.8,18.8,0.62118,0.66096,0.68288,0.70194,0.72699,0.61939,0.623,0.65972,0.66216,0.68185,0.68395,0.70091,0.70301,0.72576,0.72824
18.9,18.9,0.62136,0.66107,0.68297,0.70199,0.72701,0.61956,0.62317,0.65984,0.66228,0.68192,0.68403,0.70096,0.70307,0.72578,0.72825
19,19,0.62153,0.66118,0.68304,0.70204,0.72702,0.61973,0.62333,0.65995,0.66239,0.68201,0.68411,0.701,0.70312,0.7258,0.72827
19.1,19.1,0.6217,0.66129,0.68312,0.70209,0.72703,0.61991,0.6235,0.66006,0.66251,0.68209,0.68418,0.70105,0.70317,0.7258,0.72829
19.2,19.2,0.62186,0.6614,0.6832,0.70214,0.72705,0.62008,0.62365,0.66017,0.66262,0.68217,0.68425,0.70109,0.70321,0.72581,0.7283
19.3,19.3,0.62202,0.66151,0.68327,0.70218,0.72706,0.62024,0.62382,0.66027,0.66272,0.68224,0.68433,0.70114,0.70325,0.72582,0.7283
19.4,19.4,0.62218,0.66161,0.68334,0.70223,0.72707,0.6204,0.62398,0.66038,0.66283,0.68231,0.68439,0.70118,0.70331,0.72583,0.72831
19.5,19.5,0.62234,0.66171,0.68341,0.70227,0.72708,0.62056,0.62414,0.66047,0.66294,0.68237,0.68446,0.70123,0.70336,0.72584,0.72832
19.6,19.6,0.62249,0.66181,0.68348,0.70232,0.72709,0.62072,0.6243,0.66057,0.66303,0.68245,0.68453,0.70127,0.7034,0.72585,0.72832
19.7,19.7,0.62264,0.66191,0.68355,0.70236,0.7271,0.62087,0.62445,0.66066,0.66313,0.6825,0.6846,0.70131,0.70344,0.72585,0.72832
19.8,19.8,0.62279,0.662,0.68362,0.7024,0.7271,0.62102,0.62459,0.66076,0.66323,0.68257,0.68467,0.70135,0.70348,0.72586,0.72833
19.9,19.9,0.62294,0.6621,0.68368,0.70244,0.72711,0.62116,0.62474,0.66085,0.66331,0.68264,0.68473,0.70139,0.70352,0.72586,0.72834
20,20,0.62308,0.66219,0.68375,0.70248,0.72712,0.62131,0.62488,0.66094,0.6634,0.68269,0.68479,0.70143,0.70355,0.72586,0.72834
20.1,20.1,0.62322,0.66228,0.68381,0.70252,0.72712,0.62145,0.62502,0.66102,0.66348,0.68275,0.68485,0.70147,0.70359,0.72586,0.72835
20.2,20.2,0.62335,0.66236,0.68387,0.70255,0.72713,0.62159,0.62515,0.66111,0.66356,0.68281,0.68491,0.70151,0.70362,0.72588,0.72836
20.3,20.3,0.62349,0.66245,0.68393,0.70259,0.72713,0.62173,0.62528,0.66119,0.66362,0.68287,0.68498,0.70154,0.70365,0.72589,0.72835
20.4,20.4,0.62362,0.66253,0.68398,0.70262,0.72714,0.62186,0.62541,0.66127,0.66371,0.68292,0.68504,0.70157,0.70368,0.72589,0.72835
20.5,20.5,0.62375,0.66261,0.68404,0.70265,0.72714,0.62199,0.62553,0.66135,0.66379,0.68297,0.68507,0.7016,0.70372,0.72589,0.72835
20.6,20.6,0.62387,0.66269,0.68409,0.70269,0.72714,0.62212,0.62566,0.66143,0.66388,0.68302,0.68512,0.70163,0.70376,0.72589,0.72836
20.7,20.7,0.62399,0.66277,0.68414,0.70272,0.72714,0.62224,0.62579,0.6615,0.66395,0.68306,0.68517,0.70166,0.70379,0.7259,0.72835
20.8,20.8,0.62411,0.66284,0.68419,0.70275,0.72715,0.62236,0.62591,0.66157,0.66403,0.68311,0.68522,0.7017,0.70381,0.7259,0.72836
20.9,20.9,0.62423,0.66292,0.68424,0.70277,0.72715,0.62246,0.62602,0.66164,0.6641,0.68316,0.68527,0.70174,0.70383,0.72589,0.72836
21,21,0.62435,0.66299,0.68429,0.7028,0.72715,0.62258,0.62613,0.66171,0.66416,0.68321,0.68533,0.70176,0.70386,0.72589,0.72836
21.1,21.1,0.62446,0.66306,0.68434,0.70283,0.72715,0.62269,0.62625,0.66178,0.66423,0.68325,0.68538,0.70179,0.70388,0.72589,0.72835
21.2,21.2,0.62457,0.66313,0.68438,0.70285,0.72715,0.62281,0.62636,0.66185,0.6643,0.6833,0.68542,0.70181,0.70391,0.72589,0.72835
21.3,21.3,0.62468,0.66319,0.68443,0.70288,0.72714,0.62292,0.62646,0.66191,0.66437,0.68334,0.68546,0.70183,0.70393,0.7259,0.72836
21.4,21.4,0.62478,0.66326,0.68447,0.7029,0.72714,0.62302,0.62657,0.66198,0.66444,0.68338,0.68549,0.70185,0.70395,0.7259,0.72837
21.5,21.5,0.62488,0.66332,0.68451,0.70292,0.72714,0.62312,0.62667,0.66204,0.66451,0.68342,0.68554,0.70187,0.70397,0.7259,0.72838
21.6,21.6,0.62498,0.66338,0.68455,0.70294,0.72713,0.62323,0.62677,0.6621,0.66458,0.68346,0.68559,0.7019,0.70398,0.72591,0.72837
21.7,21.7,0.62508,0.66344,0.68459,0.70296,0.72713,0.62334,0.62686,0.66215,0.66464,0.6835,0.68562,0.70192,0.704,0.72591,0.72836
21.8,21.8,0.62517,0.6635,0.68462,0.70298,0.72712,0.62344,0.62695,0.66221,0.66469,0.68353,0.68566,0.70194,0.70401,0.72591,0.72835
21.9,21.9,0.62526,0.66355,0.68466,0.703,0.72712,0.62353,0.62705,0.66226,0.66475,0.68357,0.6857,0.70196,0.70402,0.72591,0.72834
22,22,0.62535,0.66361,0.68469,0.70301,0.72711,0.62361,0.62713,0.66231,0.6648,0.6836,0.68574,0.70198,0.70403,0.7259,0.72835
22.1,22.1,0.62544,0.66366,0.68472,0.70303,0.72711,0.6237,0.62722,0.66236,0.66485,0.68363,0.68577,0.702,0.70404,0.72589,0.72835
22.2,22.2,0.62553,0.66371,0.68476,0.70304,0.7271,0.62378,0.62731,0.66241,0.66489,0.68366,0.6858,0.70201,0.70405,0.72589,0.72834
22.3,22.3,0.62561,0.66376,0.68478,0.70306,0.72709,0.62386,0.62739,0.66246,0.66495,0.68369,0.68582,0.70203,0.70406,0.72588,0.72833
22.4,22.4,0.62569,0.6638,0.68481,0.70307,0.72708,0.62394,0.62747,0.6625,0.665,0.68372,0.68586,0.70204,0.70408,0.72589,0.72832
22.5,22.5,0.62576,0.66385,0.68484,0.70308,0.72707,0.62402,0.62755,0.66255,0.66503,0.68375,0.68589,0.70205,0.70409,0.72589,0.7283
22.6,22.6,0.62584,0.66389,0.68487,0.70309,0.72706,0.6241,0.62762,0.66258,0.66507,0.68377,0.68593,0.70206,0.70409,0.72588,0.72828
